,2021 National Employment Matrix title,2021 National Employment Matrix code,Occupation type,"Employment, 2021","Employment, 2031","Employment distribution, percent, 2021","Employment distribution, percent, 2031","Employment change, 2021–31","Percent employment change, 2021–31","Occupational openings, 2021–31 annual average"
728,"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Line item,2075.6,1868.0,1.3,1.1,-207.6,-10.0,211.2
731,Data entry keyers,43-9021,Line item,155.9,117.4,0.1,0.1,-38.5,-24.7,13.1
732,Word processors and typists,43-9022,Line item,46.1,28.5,0.0,0.0,-17.6,-38.2,3.1
733,Desktop publishers,43-9031,Line item,9.5,8.2,0.0,0.0,-1.3,-13.7,0.9
734,Insurance claims and policy processing clerks,43-9041,Line item,247.8,242.0,0.2,0.1,-5.8,-2.3,24.6
735,"Mail clerks and mail machine operators, except postal service",43-9051,Line item,74.2,69.2,0.0,0.0,-5.0,-6.8,8.9
736,"Office clerks, general",43-9061,Line item,2751.8,2621.1,1.7,1.6,-130.8,-4.8,325.4
737,"Office machine operators, except computer",43-9071,Line item,34.3,29.9,0.0,0.0,-4.4,-12.8,4.3
738,Proofreaders and copy markers,43-9081,Line item,10.5,10.7,0.0,0.0,0.2,2.4,1.5
739,Statistical assistants,43-9111,Line item,8.5,8.6,0.0,0.0,0.1,1.7,0.9
740,"Office and administrative support workers, all other",43-9199,Line item,176.7,164.8,0.1,0.1,-11.9,-6.7,19.0
743,"First-line supervisors of farming, fishing, and forestry workers",45-1011,Line item,53.3,56.7,0.0,0.0,3.4,6.4,8.2
745,Agricultural inspectors,45-2011,Line item,14.1,14.2,0.0,0.0,0.1,0.5,2.5
746,Animal breeders,45-2021,Line item,7.3,7.6,0.0,0.0,0.3,4.3,1.2
747,"Graders and sorters, agricultural products",45-2041,Line item,35.1,34.8,0.0,0.0,-0.3,-0.8,5.2
749,Agricultural equipment operators,45-2091,Line item,66.6,74.7,0.0,0.0,8.0,12.1,12.1
750,"Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,Line item,562.9,575.7,0.4,0.3,12.8,2.3,92.6
751,"Farmworkers, farm, ranch, and aquacultural animals",45-2093,Line item,228.5,213.6,0.1,0.1,-14.8,-6.5,34.0
752,"Agricultural workers, all other",45-2099,Line item,11.6,12.1,0.0,0.0,0.6,4.9,2.0
754,Fishing and hunting workers,45-3031,Line item,28.6,29.2,0.0,0.0,0.6,2.1,4.4
756,Forest and conservation workers,45-4011,Line item,13.1,12.7,0.0,0.0,-0.4,-3.4,2.3
758,Fallers,45-4021,Line item,5.6,5.1,0.0,0.0,-0.5,-9.1,0.8
759,Logging equipment operators,45-4022,Line item,34.3,33.2,0.0,0.0,-1.1,-3.3,5.2
760,Log graders and scalers,45-4023,Line item,4.5,4.6,0.0,0.0,0.2,3.5,0.7
761,"Logging workers, all other",45-4029,Line item,4.2,3.8,0.0,0.0,-0.3,-7.9,0.6
764,First-line supervisors of construction trades and extraction workers,47-1011,Line item,735.5,765.4,0.5,0.5,29.9,4.1,72.7
766,Boilermakers,47-2011,Line item,13.9,13.2,0.0,0.0,-0.6,-4.5,1.1
768,Brickmasons and blockmasons,47-2021,Line item,66.2,67.6,0.0,0.0,1.4,2.2,6.5
769,Stonemasons,47-2022,Line item,10.7,10.2,0.0,0.0,-0.5,-5.0,0.9
770,Carpenters,47-2031,Line item,948.5,969.0,0.6,0.6,20.5,2.2,91.2
772,Carpet installers,47-2041,Line item,27.2,24.8,0.0,0.0,-2.5,-9.0,2.0
773,"Floor layers, except carpet, wood, and hard tiles",47-2042,Line item,25.2,27.6,0.0,0.0,2.4,9.4,2.5
774,Floor sanders and finishers,47-2043,Line item,6.0,6.1,0.0,0.0,0.1,1.6,0.5
775,Tile and stone setters,47-2044,Line item,56.7,61.8,0.0,0.0,5.1,9.0,5.6
777,Cement masons and concrete finishers,47-2051,Line item,187.7,181.3,0.1,0.1,-6.4,-3.4,15.7
778,Terrazzo workers and finishers,47-2053,Line item,2.7,2.4,0.0,0.0,-0.3,-11.2,0.2
779,Construction laborers,47-2061,Line item,1358.4,1430.3,0.9,0.9,71.9,5.3,143.2
781,"Paving, surfacing, and tamping equipment operators",47-2071,Line item,45.0,47.5,0.0,0.0,2.5,5.5,4.9
782,Pile driver operators,47-2072,Line item,3.9,4.1,0.0,0.0,0.2,6.0,0.4
783,Operating engineers and other construction equipment operators,47-2073,Line item,418.0,437.3,0.3,0.3,19.3,4.6,45.4
785,Drywall and ceiling tile installers,47-2081,Line item,111.6,115.7,0.1,0.1,4.1,3.7,9.6
786,Tapers,47-2082,Line item,16.8,16.6,0.0,0.0,-0.1,-0.8,1.3
787,Electricians,47-2111,Line item,711.2,761.4,0.4,0.5,50.2,7.1,79.9
788,Glaziers,47-2121,Line item,56.9,59.2,0.0,0.0,2.3,4.0,6.5
790,"Insulation workers, floor, ceiling, and wall",47-2131,Line item,33.7,34.9,0.0,0.0,1.3,3.8,3.1
791,"Insulation workers, mechanical",47-2132,Line item,31.2,32.1,0.0,0.0,0.9,2.8,2.9
793,"Painters, construction and maintenance",47-2141,Line item,365.3,370.1,0.2,0.2,4.9,1.3,31.6
794,Paperhangers,47-2142,Line item,4.1,4.2,0.0,0.0,0.1,3.0,0.4
796,Pipelayers,47-2151,Line item,34.6,33.7,0.0,0.0,-0.9,-2.6,3.2
797,"Plumbers, pipefitters, and steamfitters",47-2152,Line item,469.0,478.0,0.3,0.3,9.1,1.9,48.6
798,Plasterers and stucco masons,47-2161,Line item,31.4,32.7,0.0,0.0,1.3,4.0,2.9
799,Reinforcing iron and rebar workers,47-2171,Line item,19.5,20.0,0.0,0.0,0.6,3.0,1.9
800,Roofers,47-2181,Line item,158.8,161.1,0.1,0.1,2.3,1.4,15.0
801,Sheet metal workers,47-2211,Line item,129.1,128.1,0.1,0.1,-1.0,-0.8,12.3
802,Structural iron and steel workers,47-2221,Line item,69.0,72.0,0.0,0.0,3.0,4.3,7.5
803,Solar photovoltaic installers,47-2231,Line item,17.1,21.7,0.0,0.0,4.6,27.2,2.5
805,"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,Line item,18.6,17.0,0.0,0.0,-1.5,-8.3,2.0
806,Helpers--carpenters,47-3012,Line item,28.6,27.6,0.0,0.0,-1.0,-3.5,3.3
807,Helpers--electricians,47-3013,Line item,74.6,72.5,0.0,0.0,-2.1,-2.8,8.6
808,"Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,Line item,9.1,9.3,0.0,0.0,0.2,2.6,1.1
809,"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,Line item,47.8,48.8,0.0,0.0,1.0,2.0,5.9
810,Helpers--roofers,47-3016,Line item,7.0,7.1,0.0,0.0,0.1,1.9,0.9
811,"Helpers, construction trades, all other",47-3019,Line item,28.2,29.2,0.0,0.0,1.0,3.4,3.6
813,Construction and building inspectors,47-4011,Line item,129.2,123.4,0.1,0.1,-5.7,-4.4,14.8
814,Elevator and escalator installers and repairers,47-4021,Line item,23.2,23.9,0.0,0.0,0.7,2.9,2.1
815,Fence erectors,47-4031,Line item,29.9,29.7,0.0,0.0,-0.2,-0.5,3.0
816,Hazardous materials removal workers,47-4041,Line item,44.7,44.6,0.0,0.0,-0.1,-0.3,5.7
817,Highway maintenance workers,47-4051,Line item,145.9,156.3,0.1,0.1,10.4,7.1,16.5
818,Rail-track laying and maintenance equipment operators,47-4061,Line item,17.0,17.8,0.0,0.0,0.7,4.4,1.4
819,Septic tank servicers and sewer pipe cleaners,47-4071,Line item,30.1,32.2,0.0,0.0,2.1,6.8,3.6
820,Miscellaneous construction and related workers,47-4090,Line item,33.0,34.4,0.0,0.0,1.3,4.0,3.8
823,"Derrick operators, oil and gas",47-5011,Line item,8.6,10.0,0.0,0.0,1.4,16.9,1.2
824,"Rotary drill operators, oil and gas",47-5012,Line item,12.1,14.3,0.0,0.0,2.1,17.6,1.7
825,"Service unit operators, oil and gas",47-5013,Line item,35.7,42.0,0.0,0.0,6.3,17.5,5.1
827,"Excavating and loading machine and dragline operators, surface mining",47-5022,Line item,36.5,36.5,0.0,0.0,0.0,-0.1,3.8
828,"Earth drillers, except oil and gas",47-5023,Line item,16.3,17.8,0.0,0.0,1.5,9.1,1.9
829,"Explosives workers, ordnance handling experts, and blasters",47-5032,Line item,7.1,7.2,0.0,0.0,0.1,1.5,0.7
831,Continuous mining machine operators,47-5041,Line item,14.9,15.2,0.0,0.0,0.2,1.6,1.8
832,"Roof bolters, mining",47-5043,Line item,1.9,1.5,0.0,0.0,-0.4,-21.5,0.2
833,"Loading and moving machine operators, underground mining",47-5044,Line item,4.5,3.7,0.0,0.0,-0.8,-17.8,0.4
834,"Underground mining machine operators, all other",47-5049,Line item,3.2,3.0,0.0,0.0,-0.2,-5.2,0.4
835,"Rock splitters, quarry",47-5051,Line item,4.5,4.7,0.0,0.0,0.2,4.2,0.6
836,"Roustabouts, oil and gas",47-5071,Line item,37.3,45.9,0.0,0.0,8.6,23.0,5.6
837,Helpers--extraction workers,47-5081,Line item,6.2,7.1,0.0,0.0,1.0,15.5,0.9
838,"Extraction workers, all other",47-5099,Line item,5.6,6.1,0.0,0.0,0.6,10.3,0.7
841,"First-line supervisors of mechanics, installers, and repairers",49-1011,Line item,544.7,564.6,0.3,0.3,19.8,3.6,53.5
843,"Computer, automated teller, and office machine repairers",49-2011,Line item,102.1,98.5,0.1,0.1,-3.7,-3.6,10.3
845,"Radio, cellular, and tower equipment installers and repairers",49-2021,Line item,14.1,14.9,0.0,0.0,0.8,5.6,1.7
846,"Telecommunications equipment installers and repairers, except line installers",49-2022,Line item,178.0,192.3,0.1,0.1,14.4,8.1,22.5
848,Avionics technicians,49-2091,Line item,19.6,20.6,0.0,0.0,1.0,5.1,1.6
849,"Electric motor, power tool, and related repairers",49-2092,Line item,17.4,18.1,0.0,0.0,0.7,3.9,1.5
850,"Electrical and electronics installers and repairers, transportation equipment",49-2093,Line item,9.2,9.5,0.0,0.0,0.3,3.5,0.9
851,"Electrical and electronics repairers, commercial and industrial equipment",49-2094,Line item,52.8,54.0,0.0,0.0,1.2,2.2,5.0
852,"Electrical and electronics repairers, powerhouse, substation, and relay",49-2095,Line item,22.8,21.7,0.0,0.0,-1.1,-5.0,1.9
853,"Electronic equipment installers and repairers, motor vehicles",49-2096,Line item,9.2,7.1,0.0,0.0,-2.2,-23.4,0.5
854,Audiovisual equipment installers and repairers,49-2097,Line item,26.6,25.9,0.0,0.0,-0.7,-2.6,2.7
855,Security and fire alarm systems installers,49-2098,Line item,82.9,86.7,0.1,0.1,3.9,4.7,9.4
857,Aircraft mechanics and service technicians,49-3011,Line item,131.7,139.8,0.1,0.1,8.0,6.1,11.5
859,Automotive body and related repairers,49-3021,Line item,152.5,156.8,0.1,0.1,4.2,2.8,15.2
860,Automotive glass installers and repairers,49-3022,Line item,18.5,19.3,0.0,0.0,0.8,4.4,1.8
861,Automotive service technicians and mechanics,49-3023,Line item,733.2,743.8,0.5,0.4,10.6,1.4,73.3
862,Bus and truck mechanics and diesel engine specialists,49-3031,Line item,293.2,305.8,0.2,0.2,12.6,4.3,28.5
864,Farm equipment mechanics and service technicians,49-3041,Line item,49.5,54.8,0.0,0.0,5.3,10.7,5.5
865,"Mobile heavy equipment mechanics, except engines",49-3042,Line item,152.6,164.2,0.1,0.1,11.6,7.6,16.3
866,Rail car repairers,49-3043,Line item,20.9,21.6,0.0,0.0,0.8,3.7,2.1
868,Motorboat mechanics and service technicians,49-3051,Line item,25.7,27.8,0.0,0.0,2.1,8.3,3.0
869,Motorcycle mechanics,49-3052,Line item,16.6,17.3,0.0,0.0,0.7,4.3,1.8
870,Outdoor power equipment and other small engine mechanics,49-3053,Line item,37.5,38.7,0.0,0.0,1.2,3.1,4.1
872,Bicycle repairers,49-3091,Line item,15.1,15.9,0.0,0.0,0.8,5.2,1.8
873,Recreational vehicle service technicians,49-3092,Line item,16.7,18.7,0.0,0.0,2.0,12.2,2.2
874,Tire repairers and changers,49-3093,Line item,95.3,98.2,0.1,0.1,2.9,3.1,11.1
877,Mechanical door repairers,49-9011,Line item,23.7,26.4,0.0,0.0,2.7,11.4,2.2
878,"Control and valve installers and repairers, except mechanical door",49-9012,Line item,45.7,46.1,0.0,0.0,0.3,0.7,3.6
879,"Heating, air conditioning, and refrigeration mechanics and installers",49-9021,Line item,394.1,414.4,0.2,0.2,20.2,5.1,40.1
880,Home appliance repairers,49-9031,Line item,35.5,36.0,0.0,0.0,0.5,1.3,3.6
882,Industrial machinery mechanics,49-9041,Line item,384.8,447.9,0.2,0.3,63.1,16.4,42.5
883,"Maintenance workers, machinery",49-9043,Line item,58.5,63.0,0.0,0.0,4.5,7.8,6.9
884,Millwrights,49-9044,Line item,39.9,42.0,0.0,0.0,2.1,5.2,3.8
885,"Refractory materials repairers, except brickmasons",49-9045,Line item,0.7,0.5,0.0,0.0,-0.1,-20.2,0.0
887,Electrical power-line installers and repairers,49-9051,Line item,126.6,130.7,0.1,0.1,4.0,3.2,11.1
888,Telecommunications line installers and repairers,49-9052,Line item,103.8,113.4,0.1,0.1,9.6,9.2,12.4
890,Camera and photographic equipment repairers,49-9061,Line item,2.5,2.7,0.0,0.0,0.1,4.8,0.3
891,Medical equipment repairers,49-9062,Line item,59.1,69.1,0.0,0.0,10.0,17.0,7.7
892,Musical instrument repairers and tuners,49-9063,Line item,6.4,5.9,0.0,0.0,-0.5,-7.1,0.6
893,Watch and clock repairers,49-9064,Line item,2.2,1.7,0.0,0.0,-0.5,-24.7,0.1
894,"Precision instrument and equipment repairers, all other",49-9069,Line item,12.3,12.6,0.0,0.0,0.3,2.5,1.3
895,"Maintenance and repair workers, general",49-9071,Line item,1539.1,1615.3,1.0,1.0,76.3,5.0,160.1
896,Wind turbine service technicians,49-9081,Line item,11.1,16.1,0.0,0.0,4.9,44.3,1.9
898,"Coin, vending, and amusement machine servicers and repairers",49-9091,Line item,30.6,32.0,0.0,0.0,1.5,4.9,3.9
899,Commercial divers,49-9092,Line item,3.0,3.4,0.0,0.0,0.4,14.7,0.4
900,Locksmiths and safe repairers,49-9094,Line item,20.3,17.3,0.0,0.0,-3.0,-14.8,1.6
901,Manufactured building and mobile home installers,49-9095,Line item,3.9,3.1,0.0,0.0,-0.8,-20.3,0.3
902,Riggers,49-9096,Line item,18.5,19.3,0.0,0.0,0.7,4.0,2.2
903,Signal and track switch repairers,49-9097,Line item,6.8,7.0,0.0,0.0,0.2,3.7,0.7
904,"Helpers--installation, maintenance, and repair workers",49-9098,Line item,90.5,93.9,0.1,0.1,3.4,3.8,11.4
905,"Installation, maintenance, and repair workers, all other",49-9099,Line item,180.5,186.3,0.1,0.1,5.8,3.2,19.3
908,First-line supervisors of production and operating workers,51-1011,Line item,646.8,659.0,0.4,0.4,12.2,1.9,68.7
910,"Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,Line item,34.3,27.7,0.0,0.0,-6.6,-19.4,2.9
912,"Coil winders, tapers, and finishers",51-2021,Line item,11.4,9.3,0.0,0.0,-2.0,-17.9,1.0
913,"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",51-2028,Line item,279.5,285.5,0.2,0.2,6.0,2.2,32.8
914,Engine and other machine assemblers,51-2031,Line item,47.3,41.6,0.0,0.0,-5.8,-12.2,5.7
915,Structural metal fabricators and fitters,51-2041,Line item,63.6,53.6,0.0,0.0,-10.1,-15.8,4.7
916,Fiberglass laminators and fabricators,51-2051,Line item,17.8,18.0,0.0,0.0,0.1,0.7,2.1
917,Timing device assemblers and adjusters,51-2061,Line item,0.6,0.5,0.0,0.0,-0.1,-18.3,0.1
918,Miscellaneous assemblers and fabricators,51-2090,Line item,1367.1,1270.7,0.9,0.8,-96.4,-7.1,142.7
920,Bakers,51-3011,Line item,200.8,217.0,0.1,0.1,16.3,8.1,31.3
922,Butchers and meat cutters,51-3021,Line item,146.9,142.0,0.1,0.1,-4.9,-3.3,17.7
923,"Meat, poultry, and fish cutters and trimmers",51-3022,Line item,137.3,139.1,0.1,0.1,1.8,1.3,17.5
924,Slaughterers and meat packers,51-3023,Line item,88.3,86.7,0.1,0.1,-1.6,-1.8,10.8
926,"Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,Line item,21.1,21.6,0.0,0.0,0.5,2.2,2.8
927,Food batchmakers,51-3092,Line item,159.9,168.7,0.1,0.1,8.8,5.5,23.5
928,Food cooking machine operators and tenders,51-3093,Line item,27.2,27.0,0.0,0.0,-0.2,-0.8,5.0
929,"Food processing workers, all other",51-3099,Line item,49.3,49.4,0.0,0.0,0.1,0.2,5.4
932,"Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,Line item,60.6,61.0,0.0,0.0,0.4,0.7,6.6
933,"Forging machine setters, operators, and tenders, metal and plastic",51-4022,Line item,11.8,9.6,0.0,0.0,-2.2,-18.3,0.9
934,"Rolling machine setters, operators, and tenders, metal and plastic",51-4023,Line item,32.1,28.7,0.0,0.0,-3.5,-10.9,2.9
936,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,Line item,183.3,170.1,0.1,0.1,-13.2,-7.2,17.1
937,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,Line item,6.9,5.6,0.0,0.0,-1.3,-18.6,0.7
938,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,Line item,69.0,63.0,0.0,0.0,-6.1,-8.8,7.8
939,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034,Line item,20.0,18.2,0.0,0.0,-1.8,-9.1,2.4
940,"Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,Line item,15.2,12.5,0.0,0.0,-2.7,-17.7,1.6
941,Machinists,51-4041,Line item,342.6,350.7,0.2,0.2,8.1,2.4,37.5
943,Metal-refining furnace operators and tenders,51-4051,Line item,15.9,14.9,0.0,0.0,-1.0,-6.4,1.5
944,"Pourers and casters, metal",51-4052,Line item,6.7,5.9,0.0,0.0,-0.8,-12.5,0.6
946,"Model makers, metal and plastic",51-4061,Line item,3.8,3.5,0.0,0.0,-0.3,-7.1,0.3
947,"Patternmakers, metal and plastic",51-4062,Line item,2.1,1.9,0.0,0.0,-0.2,-10.2,0.2
949,Foundry mold and coremakers,51-4071,Line item,14.0,12.4,0.0,0.0,-1.6,-11.1,1.2
950,"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",51-4072,Line item,166.1,165.2,0.1,0.1,-0.9,-0.6,16.8
951,"Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,Line item,139.5,143.4,0.1,0.1,4.0,2.8,15.3
952,Tool and die makers,51-4111,Line item,65.1,61.0,0.0,0.0,-4.2,-6.4,6.5
954,"Welders, cutters, solderers, and brazers",51-4121,Line item,428.0,434.9,0.3,0.3,6.9,1.6,47.6
955,"Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,Line item,32.3,29.7,0.0,0.0,-2.6,-7.9,3.1
957,"Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,Line item,14.9,13.5,0.0,0.0,-1.5,-9.8,1.3
958,"Layout workers, metal and plastic",51-4192,Line item,7.1,6.4,0.0,0.0,-0.7,-10.0,0.6
959,"Plating machine setters, operators, and tenders, metal and plastic",51-4193,Line item,33.0,29.6,0.0,0.0,-3.4,-10.4,3.0
960,"Tool grinders, filers, and sharpeners",51-4194,Line item,6.3,5.8,0.0,0.0,-0.5,-7.9,0.6
961,"Metal workers and plastic workers, all other",51-4199,Line item,19.4,18.0,0.0,0.0,-1.4,-7.1,1.8
963,Prepress technicians and workers,51-5111,Line item,26.0,20.1,0.0,0.0,-5.9,-22.7,2.4
964,Printing press operators,51-5112,Line item,153.1,129.4,0.1,0.1,-23.7,-15.5,13.2
965,Print binding and finishing workers,51-5113,Line item,42.2,31.8,0.0,0.0,-10.5,-24.8,2.8
967,Laundry and dry-cleaning workers,51-6011,Line item,164.0,183.5,0.1,0.1,19.5,11.9,26.6
968,"Pressers, textile, garment, and related materials",51-6021,Line item,27.9,25.2,0.0,0.0,-2.7,-9.6,2.9
969,Sewing machine operators,51-6031,Line item,127.0,116.5,0.1,0.1,-10.5,-8.3,14.0
971,Shoe and leather workers and repairers,51-6041,Line item,7.3,6.9,0.0,0.0,-0.4,-5.1,0.9
972,Shoe machine operators and tenders,51-6042,Line item,4.7,4.3,0.0,0.0,-0.3,-7.2,0.5
974,"Sewers, hand",51-6051,Line item,8.5,8.4,0.0,0.0,-0.1,-1.0,1.2
975,"Tailors, dressmakers, and custom sewers",51-6052,Line item,35.0,35.5,0.0,0.0,0.4,1.2,5.0
977,Textile bleaching and dyeing machine operators and tenders,51-6061,Line item,6.5,5.6,0.0,0.0,-1.0,-14.6,0.7
978,"Textile cutting machine setters, operators, and tenders",51-6062,Line item,12.3,10.8,0.0,0.0,-1.5,-12.2,1.4
979,"Textile knitting and weaving machine setters, operators, and tenders",51-6063,Line item,17.0,14.4,0.0,0.0,-2.6,-15.1,1.9
980,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,Line item,23.0,20.1,0.0,0.0,-2.9,-12.4,2.6
982,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6091,Line item,14.4,13.7,0.0,0.0,-0.6,-4.2,1.5
983,Fabric and apparel patternmakers,51-6092,Line item,3.2,2.8,0.0,0.0,-0.4,-12.7,0.3
984,Upholsterers,51-6093,Line item,34.5,35.7,0.0,0.0,1.2,3.3,3.7
985,"Textile, apparel, and furnishings workers, all other",51-6099,Line item,13.1,11.9,0.0,0.0,-1.3,-9.7,1.2
987,Cabinetmakers and bench carpenters,51-7011,Line item,102.9,106.5,0.1,0.1,3.6,3.5,11.5
988,Furniture finishers,51-7021,Line item,18.7,19.1,0.0,0.0,0.4,2.2,2.7
990,"Model makers, wood",51-7031,Line item,0.5,0.5,0.0,0.0,0.0,7.3,0.1
991,"Patternmakers, wood",51-7032,Line item,0.3,0.3,0.0,0.0,0.0,7.8,0.0
993,"Sawing machine setters, operators, and tenders, wood",51-7041,Line item,47.1,49.0,0.0,0.0,1.9,4.1,5.7
994,"Woodworking machine setters, operators, and tenders, except sawing",51-7042,Line item,69.4,71.7,0.0,0.0,2.2,3.2,7.2
995,"Woodworkers, all other",51-7099,Line item,11.4,12.3,0.0,0.0,0.9,7.7,1.4
998,Nuclear power reactor operators,51-8011,Line item,4.8,3.5,0.0,0.0,-1.3,-26.8,0.3
999,Power distributors and dispatchers,51-8012,Line item,9.7,9.1,0.0,0.0,-0.6,-6.6,0.8
1000,Power plant operators,51-8013,Line item,29.2,24.7,0.0,0.0,-4.5,-15.5,2.1
1001,Stationary engineers and boiler operators,51-8021,Line item,32.5,33.8,0.0,0.0,1.3,4.0,4.2
1002,Water and wastewater treatment plant and system operators,51-8031,Line item,125.2,116.6,0.1,0.1,-8.6,-6.9,10.8
1004,Chemical plant and system operators,51-8091,Line item,22.4,22.1,0.0,0.0,-0.2,-1.1,2.3
1005,Gas plant operators,51-8092,Line item,15.3,14.0,0.0,0.0,-1.4,-9.0,1.4
1006,"Petroleum pump system operators, refinery operators, and gaugers",51-8093,Line item,35.3,36.4,0.0,0.0,1.0,3.0,3.9
1007,"Plant and system operators, all other",51-8099,Line item,15.9,15.9,0.0,0.0,0.1,0.4,1.7
1010,Chemical equipment operators and tenders,51-9011,Line item,110.3,104.8,0.1,0.1,-5.5,-5.0,10.6
1011,"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,Line item,51.6,52.0,0.0,0.0,0.5,0.9,5.4
1013,"Crushing, grinding, and polishing machine setters, operators, and tenders",51-9021,Line item,32.1,31.4,0.0,0.0,-0.7,-2.2,3.5
1014,"Grinding and polishing workers, hand",51-9022,Line item,16.1,13.1,0.0,0.0,-3.0,-18.7,1.3
1015,"Mixing and blending machine setters, operators, and tenders",51-9023,Line item,111.0,113.5,0.1,0.1,2.5,2.3,12.8
1017,"Cutters and trimmers, hand",51-9031,Line item,8.2,5.9,0.0,0.0,-2.3,-28.4,0.7
1018,"Cutting and slicing machine setters, operators, and tenders",51-9032,Line item,58.3,57.0,0.0,0.0,-1.3,-2.2,7.3
1019,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,Line item,58.4,60.8,0.0,0.0,2.5,4.2,6.3
1020,"Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,Line item,15.3,15.7,0.0,0.0,0.4,2.7,1.8
1021,"Inspectors, testers, sorters, samplers, and weighers",51-9061,Line item,571.6,554.5,0.4,0.3,-17.2,-3.0,67.8
1022,Jewelers and precious stone and metal workers,51-9071,Line item,45.8,46.4,0.0,0.0,0.6,1.4,6.1
1024,Dental laboratory technicians,51-9081,Line item,36.7,36.5,0.0,0.0,-0.3,-0.7,4.8
1025,Medical appliance technicians,51-9082,Line item,16.4,17.3,0.0,0.0,0.9,5.3,2.3
1026,Ophthalmic laboratory technicians,51-9083,Line item,20.2,20.9,0.0,0.0,0.7,3.7,2.8
1027,Packaging and filling machine operators and tenders,51-9111,Line item,362.6,377.4,0.2,0.2,14.8,4.1,43.8
1029,"Painting, coating, and decorating workers",51-9123,Line item,13.0,13.4,0.0,0.0,0.4,3.3,1.4
1030,"Coating, painting, and spraying machine setters, operators, and tenders",51-9124,Line item,160.0,164.4,0.1,0.1,4.4,2.8,16.6
1031,Semiconductor processing technicians,51-9141,Line item,27.0,27.9,0.0,0.0,0.9,3.4,3.2
1032,Photographic process workers and processing machine operators,51-9151,Line item,7.4,7.7,0.0,0.0,0.3,3.5,1.1
1034,Computer numerically controlled tool operators,51-9161,Line item,160.4,147.6,0.1,0.1,-12.8,-8.0,14.7
1035,Computer numerically controlled tool programmers,51-9162,Line item,26.2,31.8,0.0,0.0,5.5,21.1,3.6
1037,Adhesive bonding machine operators and tenders,51-9191,Line item,12.7,12.9,0.0,0.0,0.2,1.5,1.6
1038,"Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,Line item,14.5,15.5,0.0,0.0,1.0,6.8,1.8
1039,Cooling and freezing equipment operators and tenders,51-9193,Line item,8.3,8.8,0.0,0.0,0.5,6.2,1.0
1040,Etchers and engravers,51-9194,Line item,7.2,7.5,0.0,0.0,0.2,3.1,0.8
1041,"Molders, shapers, and casters, except metal and plastic",51-9195,Line item,41.3,49.2,0.0,0.0,7.9,19.3,5.7
1042,"Paper goods machine setters, operators, and tenders",51-9196,Line item,87.5,83.8,0.1,0.1,-3.7,-4.3,10.1
1043,Tire builders,51-9197,Line item,17.7,19.1,0.0,0.0,1.4,8.1,2.1
1044,Helpers--production workers,51-9198,Line item,206.9,190.3,0.1,0.1,-16.5,-8.0,28.7
1045,"Production workers, all other",51-9199,Line item,226.9,241.6,0.1,0.1,14.7,6.5,28.3
1048,Aircraft cargo handling supervisors,53-1041,Line item,8.9,9.9,0.0,0.0,0.9,10.5,1.2
1049,"First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",53-1047,Line item,561.8,592.9,0.4,0.4,31.0,5.5,71.3
1052,"Airline pilots, copilots, and flight engineers",53-2011,Line item,87.6,92.9,0.1,0.1,5.2,6.0,11.8
1053,Commercial pilots,53-2012,Line item,47.7,50.1,0.0,0.0,2.4,5.1,6.3
1055,Air traffic controllers,53-2021,Line item,22.9,23.0,0.0,0.0,0.1,0.6,2.4
1056,Airfield operations specialists,53-2022,Line item,13.0,14.1,0.0,0.0,1.0,8.0,1.5
1057,Flight attendants,53-2031,Line item,106.3,128.4,0.1,0.1,22.1,20.8,18.1
1059,"Ambulance drivers and attendants, except emergency medical technicians",53-3011,Line item,11.9,11.7,0.0,0.0,-0.1,-1.0,1.8
1061,Driver/sales workers,53-3031,Line item,531.0,594.5,0.3,0.4,63.5,12.0,72.3
